station_id,station_name,temp,latitude,longitude,avg_trip_count,day_count,coords_x,coords_y
144,Larrabee St & Webster Ave,50.0,41.9218,-87.6441,25.79194630872483,149,-9756496.583034748,5149272.6515156925
144,Larrabee St & Webster Ave,55.0,41.9218,-87.6441,34.19047619047619,105,-9756496.583034748,5149272.6515156925
144,Larrabee St & Webster Ave,60.0,41.9218,-87.6441,42.465753424657535,146,-9756496.583034748,5149272.6515156925
144,Larrabee St & Webster Ave,65.0,41.9218,-87.6441,50.314465408805034,159,-9756496.583034748,5149272.6515156925
144,Larrabee St & Webster Ave,70.0,41.9218,-87.6441,55.254629629629626,216,-9756496.583034748,5149272.6515156925
144,Larrabee St & Webster Ave,75.0,41.9218,-87.6441,56.77828054298642,221,-9756496.583034748,5149272.6515156925
144,Larrabee St & Webster Ave,80.0,41.9218,-87.6441,54.87128712871287,101,-9756496.583034748,5149272.6515156925
145,Mies van der Rohe Way & Chestnut St,30.0,41.8986,-87.6219,14.875,88,-9754025.290339138,5145802.297096592
145,Mies van der Rohe Way & Chestnut St,35.0,41.8986,-87.6219,15.837606837606838,117,-9754025.290339138,5145802.297096592
145,Mies van der Rohe Way & Chestnut St,40.0,41.8986,-87.6219,19.81081081081081,111,-9754025.290339138,5145802.297096592
145,Mies van der Rohe Way & Chestnut St,45.0,41.8986,-87.6219,24.382978723404257,94,-9754025.290339138,5145802.297096592
145,Mies van der Rohe Way & Chestnut St,50.0,41.8986,-87.6219,29.933333333333334,105,-9754025.290339138,5145802.297096592
145,Mies van der Rohe Way & Chestnut St,55.0,41.8986,-87.6219,35.47826086956522,69,-9754025.290339138,5145802.297096592
145,Mies van der Rohe Way & Chestnut St,60.0,41.8986,-87.6219,47.45192307692308,104,-9754025.290339138,5145802.297096592
145,Mies van der Rohe Way & Chestnut St,65.0,41.8986,-87.6219,57.97142857142857,105,-9754025.290339138,5145802.297096592
145,Mies van der Rohe Way & Chestnut St,70.0,41.8986,-87.6219,66.61635220125787,159,-9754025.290339138,5145802.297096592
145,Mies van der Rohe Way & Chestnut St,75.0,41.8986,-87.6219,69.9171597633136,169,-9754025.290339138,5145802.297096592
145,Mies van der Rohe Way & Chestnut St,80.0,41.8986,-87.6219,69.17857142857143,84,-9754025.290339138,5145802.297096592
146,Loomis St & Jackson Blvd,30.0,41.8779,-87.662,7.290322580645161,124,-9758489.201919949,5142706.967423761
146,Loomis St & Jackson Blvd,35.0,41.8779,-87.662,7.562913907284768,151,-9758489.201919949,5142706.967423761
